"project.name","version","name","amc","max_cc","avg_cc","loc","noc","rfc","npm","wmc","dam","ca","cbm","cbo","ce","ic","max.coupling","min.coupling","mean.coupling","is.change.prone"
"lucene",2.4,"org.apache.lucene.index.IndexWriter",49.68072289,7,1.3795,8474,0,392,88,166,0.737704918,16,0,44,34,0,0.980000019073486,0.400000005960464,0.815798816243572,FALSE
"lucene",2.4,"org.apache.lucene.index.SegmentReader",33.421875,30,1.6719,2234,1,183,28,64,0.580645161,13,15,39,33,2,0.990000009536743,0.389999985694885,0.856183430940442,TRUE
"lucene",2.4,"org.apache.lucene.index.IndexReader",8.407894737,12,1.1579,722,4,131,62,76,0.571428571,104,0,128,25,0,0.990000009536743,0.379999995231628,0.830887574680458,FALSE
"lucene",2.4,"org.apache.lucene.search.IndexSearcher",12.53333333,1,0.7333,205,0,41,14,15,0.5,4,3,24,20,1,0.990000009536743,0.439999997615814,0.833372782232493,FALSE
"lucene",2.4,"org.apache.lucene.index.SegmentInfos",17.73684211,6,1.2895,729,0,97,28,38,0.411764706,22,2,30,10,1,1,0.409999996423721,0.871508876335691,TRUE
"lucene",2.4,"org.apache.lucene.search.BooleanQuery",15.33333333,12,1.5926,446,0,64,22,27,1,13,6,20,11,2,0.980000019073486,0.439999997615814,0.842278107912583,TRUE
"lucene",2.4,"org.apache.lucene.index.DirectoryIndexReader",22.36,3,1.08,596,2,82,8,25,0.833333333,5,8,20,18,2,0.97000002861023,0.389999985694885,0.830502958692742,FALSE
"lucene",2.4,"org.apache.lucene.index.DocumentsWriter",35.5,23,2.0132,2835,0,185,0,76,0.409836066,18,0,53,46,0,0.939999997615814,0.25,0.668106509383614,FALSE
"lucene",2.4,"org.apache.lucene.store.FSDirectory",34.4137931,3,1.0345,1037,2,97,24,29,0.8,8,8,18,10,1,0.990000009536743,0.319999992847443,0.794556212407598,FALSE
"lucene",2.4,"org.apache.lucene.index.CheckIndex",113.7692308,3,1.0769,1498,0,96,8,13,0.5,0,0,15,15,0,0.949999988079071,0.230000004172325,0.714201183934536,TRUE
"lucene",2.4,"org.apache.lucene.analysis.TokenStream",9,1,0.7143,72,2,17,5,7,0,26,0,28,2,0,0.959999978542328,0.280000001192093,0.825177513636075,FALSE
"lucene",2.4,"org.apache.lucene.search.FilteredQuery",14.66666667,5,1.3333,143,0,26,8,9,0,3,4,10,8,2,0.990000009536743,0.219999998807907,0.859615382622685,FALSE
"lucene",2.4,"org.apache.lucene.index.MultiSegmentReader",29.02702703,6,1.2973,1118,1,95,21,37,1,4,11,22,20,2,1,0.409999996423721,0.86778106782916,FALSE
"lucene",2.4,"org.apache.lucene.search.SortField",16.86666667,7,0.8,286,0,22,14,15,0.222222222,8,0,9,1,0,0.97000002861023,0.389999985694885,0.81881656793095,TRUE
"lucene",2.4,"org.apache.lucene.index.FieldInfos",23.17391304,3,1.4783,565,0,57,18,23,0.222222222,25,0,31,6,0,1,0.430000007152557,0.8797633132991,TRUE
"lucene",2.4,"org.apache.lucene.search.BooleanScorer2",22.42857143,5,1.0952,500,0,56,10,21,1,5,3,16,15,1,0.980000019073486,0.400000005960464,0.824201183029886,FALSE
"lucene",2.4,"org.apache.lucene.search.function.CustomScoreQuery",21.55,7,1.8,454,0,46,16,20,1,2,4,9,8,2,0.990000009536743,0.430000007152557,0.873431953981783,FALSE
"lucene",2.4,"org.apache.lucene.search.FieldCache",0.384615385,1,0.9231,20,0,14,12,13,0,11,0,17,8,0,0.980000019073486,0.46000000834465,0.878343193576886,FALSE
"lucene",2.4,"org.apache.lucene.search.MatchAllDocsQuery",8.5,3,1.1667,57,0,14,5,6,0,3,3,7,5,2,0.990000009536743,0.439999997615814,0.888668642770609,TRUE
"lucene",2.4,"org.apache.lucene.search.function.ValueSourceQuery",9.428571429,4,1.2857,74,1,20,6,7,0,5,3,11,7,2,0.97000002861023,0.430000007152557,0.836420117574331,FALSE
"lucene",2.4,"org.apache.lucene.search.ConstantScoreQuery",10.5,5,1.5,93,0,19,7,8,1,3,3,8,6,2,1,0.389999985694885,0.870502958989002,FALSE
"lucene",2.4,"org.apache.lucene.index.ParallelReader",23.45714286,3,1.0571,865,0,103,28,35,0.888888889,3,10,16,16,1,0.97000002861023,0.340000003576279,0.840059170885199,FALSE
"lucene",2.4,"org.apache.lucene.search.Query",18.07692308,9,1.8462,249,15,39,12,13,1,51,0,54,7,0,0.990000009536743,0.360000014305115,0.851775147505766,FALSE
"lucene",2.4,"org.apache.lucene.index.IndexFileDeleter",49.5,2,1,1021,0,77,5,20,0.818181818,3,0,12,10,0,0.980000019073486,0.340000003576279,0.850443784478148,FALSE
"lucene",2.4,"org.apache.lucene.search.Searchable",0,1,1,11,0,11,11,11,0,6,0,18,12,0,0.959999978542328,0.400000005960464,0.789142009862781,TRUE
"lucene",2.4,"org.apache.lucene.document.DateTools",68.875,8,2.5,567,0,27,6,8,1,1,0,2,1,0,0.97000002861023,0.200000002980232,0.82730769401295,TRUE
"lucene",2.4,"org.apache.lucene.search.Scorer",6.166666667,1,0.8333,44,17,10,4,6,1,36,0,40,4,0,1,0.330000013113022,0.881656807114387,FALSE
"lucene",2.4,"org.apache.lucene.analysis.KeywordTokenizer",17,1,0.5,112,0,18,4,6,0.5,1,2,3,2,1,1,0.319999992847443,0.856538461245729,TRUE
"lucene",2.4,"org.apache.lucene.search.ParallelMultiSearcher",48.16666667,1,0.8333,297,0,33,6,6,1,1,3,16,16,2,0.990000009536743,0.330000013113022,0.874763313747017,FALSE
"lucene",2.4,"org.apache.lucene.store.NIOFSDirectory",8.666666667,1,0.6667,30,0,11,2,3,0,1,1,3,3,1,0.990000009536743,0.419999986886978,0.811242601487058,FALSE
"lucene",2.4,"org.apache.lucene.store.MMapDirectory",17,1,0.6667,55,0,11,3,3,1,0,2,5,5,1,0.990000009536743,0.330000013113022,0.792603549784457,FALSE
"lucene",2.4,"org.apache.lucene.search.MultiTermQuery",18.28571429,5,1.5714,136,2,27,6,7,1,2,3,10,8,2,1,0.379999995231628,0.875473374622108,TRUE
"lucene",2.4,"org.apache.lucene.search.DocIdSet",1.5,1,0.5,5,3,3,2,2,0,15,0,16,1,0,1,0.389999985694885,0.834704143055797,FALSE
"lucene",2.4,"org.apache.lucene.document.Field",27.35294118,4,0.8824,482,0,28,17,17,0,2,6,8,6,1,0.980000019073486,0.389999985694885,0.8218934922176,TRUE
"lucene",2.4,"org.apache.lucene.search.spans.SpanOrQuery",23.16666667,7,1.6667,292,0,43,11,12,1,4,2,10,7,2,1,0.370000004768372,0.873520712880693,FALSE
"lucene",2.4,"org.apache.lucene.search.QueryWrapperFilter",12.83333333,2,1,84,0,20,6,6,1,3,2,10,9,2,0.97000002861023,0.200000002980232,0.804349111867021,FALSE
"lucene",2.4,"org.apache.lucene.index.MultiReader",23.03030303,4,1.1212,801,0,69,24,33,1,0,9,16,16,1,0.980000019073486,0.340000003576279,0.851153845529585,TRUE
"lucene",2.4,"org.apache.lucene.search.spans.SpanNearQuery",26.30769231,7,1.6923,359,0,48,13,13,1,3,2,10,9,2,1,0.400000005960464,0.874704144321955,FALSE
"lucene",2.4,"org.apache.lucene.search.MultiSearcher",34.875,6,1.25,577,1,53,14,16,1,2,5,22,21,1,0.990000009536743,0.330000013113022,0.867011834002105,FALSE
"lucene",2.4,"org.apache.lucene.search.DisjunctionMaxQuery",21.57142857,6,1.5714,318,0,38,11,14,1,2,5,7,6,2,0.990000009536743,0.430000007152557,0.882041423278447,FALSE
"lucene",2.4,"org.apache.lucene.search.PhraseQuery",24.13333333,9,2.1333,382,0,43,11,15,1,4,3,10,7,2,0.990000009536743,0.409999996423721,0.880118344574285,FALSE
"lucene",2.4,"org.apache.lucene.search.CachingWrapperFilter",25.66666667,2,1,162,1,18,6,6,1,1,2,4,3,2,0.980000019073486,0.170000001788139,0.821301775879761,FALSE
"lucene",2.4,"org.apache.lucene.index.FieldsReader",40.12,5,1.2,1041,0,77,0,25,0.846153846,3,0,19,17,0,0.990000009536743,0.389999985694885,0.845118343036556,TRUE
"lucene",2.4,"org.apache.lucene.search.Similarity",4.411764706,1,0.8824,94,2,26,16,17,1,51,0,53,4,0,0.980000019073486,0.239999994635582,0.846449702934048,FALSE
"lucene",2.4,"org.apache.lucene.index.LogMergePolicy",37.33333333,2,1,817,2,47,15,21,0.333333333,3,0,10,8,0,1,0.319999992847443,0.732011833046315,FALSE
"lucene",2.4,"org.apache.lucene.search.FieldCacheImpl",12.35714286,1,0.8571,199,1,29,12,14,0.333333333,10,0,23,22,0,0.97000002861023,0.389999985694885,0.841005917572411,FALSE
"lucene",2.4,"org.apache.lucene.analysis.Token",20.74509804,12,1.7255,1122,0,77,45,51,0.230769231,23,1,25,2,1,0.980000019073486,0.439999997615814,0.799822485217681,FALSE
"lucene",2.4,"org.apache.lucene.index.SegmentMerger",80.52173913,6,1.087,1901,0,128,0,23,0.884615385,4,0,31,30,0,0.980000019073486,0.319999992847443,0.870502959782555,FALSE
"lucene",2.4,"org.apache.lucene.search.spans.NearSpansOrdered",40.82352941,6,1.5294,725,0,53,9,17,0.857142857,3,0,7,6,0,1,0.449999988079071,0.857426034804632,FALSE
"lucene",2.4,"org.apache.lucene.search.BooleanScorer",36.58333333,2,1.0833,461,0,29,7,12,1,1,3,8,7,1,0.980000019073486,0.430000007152557,0.8617455628673,FALSE
"lucene",2.4,"org.apache.lucene.analysis.CharTokenizer",24.28571429,1,0.7143,185,2,21,3,7,0.75,2,2,4,2,1,0.980000019073486,0.319999992847443,0.841538464088412,TRUE
"lucene",2.4,"org.apache.lucene.search.MultiPhraseQuery",23.05882353,7,2.0588,413,0,48,13,17,1,4,4,13,10,2,1,0.389999985694885,0.875591718409894,TRUE
"lucene",2.4,"org.apache.lucene.analysis.standard.StandardTokenizer",18.08333333,1,0.75,245,0,32,9,12,0.1875,3,3,5,3,2,1,0.25,0.865502959525091,FALSE
"lucene",2.4,"org.apache.lucene.analysis.Analyzer",4,1,0.8333,31,6,10,4,6,1,14,0,15,1,0,0.949999988079071,0.270000010728836,0.810621301538845,FALSE
"lucene",2.4,"org.apache.lucene.util.Constants",17,0,0,44,0,5,0,2,0,1,0,1,0,0,0.77999997138977,0.0700000002980232,0.522544376926838,FALSE
"lucene",2.4,"org.apache.lucene.search.TermQuery",11.375,4,1.375,100,0,22,6,8,1,11,2,16,6,2,0.990000009536743,0.419999986886978,0.876035505409777,FALSE
"lucene",2.4,"org.apache.lucene.search.spans.SpanWeight",49,1,0.8571,357,1,46,7,7,1,2,0,13,12,0,1,0.360000014305115,0.880591717344769,FALSE
"lucene",2.4,"org.apache.lucene.search.RangeQuery",38.66666667,13,2.6667,480,0,39,11,12,1,1,2,9,8,2,0.97000002861023,0.389999985694885,0.84926035488851,FALSE
