"project.name","version","name","amc","max_cc","avg_cc","loc","noc","rfc","npm","wmc","dam","ca","cbm","cbo","ce","ic","cam","lcom3","lcom","max.coupling","min.coupling","mean.coupling","is.change.prone"
"pBeans",1,"net.sourceforge.pbeans.data.GenericDatabase",15.5,1,0.5,33,0,7,1,2,0,1,1,3,2,1,0.6,2,1,0.97000002861023,0.439999997615814,0.812400002479553,FALSE
"pBeans",1,"net.sourceforge.pbeans.data.DefaultDatabaseFactory",22.5,1,0.75,96,0,21,4,4,1,1,0,7,6,0,0.583333333,0.333333333,0,0.959999978542328,0.330000013113022,0.794000002145767,FALSE
"pBeans",1,"net.sourceforge.pbeans.PersistentMapEntry_StoreInfo",11.5,1,0.5,25,0,4,2,2,0,0,0,2,2,0,1,2,1,1,0.419999986886978,0.816799999475479,FALSE
"pBeans",1,"net.sourceforge.pbeans.data.DatabaseFactory",0,1,1,1,0,1,1,1,0,2,0,3,1,0,1,2,0,0.959999978542328,0.239999994635582,0.779200002551079,FALSE
"pBeans",1,"net.sourceforge.pbeans.data.ResultsIterator",0,1,1,1,0,1,1,1,0,5,0,5,0,0,1,2,0,0.800000011920929,0.379999995231628,0.58559999704361,TRUE
"pBeans",1,"net.sourceforge.pbeans.data.Database",0,1,1,8,0,8,8,8,0,5,0,7,2,0,0.339285714,2,28,0.949999988079071,0.370000004768372,0.808399996757507,TRUE
"pBeans",1,"net.sourceforge.pbeans.data.FieldDescriptor",5.666666667,1,0.5,43,0,7,6,6,1,8,0,8,0,0,0.433333333,0.4,9,0.980000019073486,0.419999986886978,0.792399994134903,FALSE
"pBeans",1,"net.sourceforge.pbeans.data.AbstractDatabase",50.25925926,2,1.037,1394,3,122,11,27,1,7,0,13,9,0,0.190883191,0.880769231,283,0.980000019073486,0.300000011920929,0.783199999332428,FALSE
"pBeans",1,"net.sourceforge.pbeans.data.ConnectionPool",27.625,1,0.875,235,0,24,4,8,1,2,0,2,1,0,0.375,0.642857143,0,0.870000004768372,0.239999994635582,0.430799996256828,FALSE
"pBeans",1,"net.sourceforge.pbeans.Index",12.57142857,4,1.1429,97,0,15,7,7,1,4,1,4,0,1,0.371428571,0.25,5,0.800000011920929,0.370000004768372,0.553599997758865,FALSE
"pBeans",1,"net.sourceforge.pbeans.DuplicateEntryException",5,0,0,18,0,6,3,3,0,2,0,3,1,0,0.777777778,2,3,0.949999988079071,0.370000004768372,0.60079999923706,FALSE
"pBeans",1,"net.sourceforge.pbeans.StoreInfo",0,1,1,6,0,6,6,6,0,2,0,6,5,0,0.5,2,15,0.959999978542328,0.419999986886978,0.800399998426437,FALSE
"pBeans",1,"net.sourceforge.pbeans.DefaultStoreInfo",4,0,0,5,0,2,1,1,0,1,0,2,1,0,1,2,0,0.879999995231628,0.409999996423721,0.700799995660782,FALSE
"pBeans",1,"net.sourceforge.pbeans.PersistentMapEntry",3.428571429,1,0.8571,34,0,8,6,7,1,1,0,2,2,0,0.357142857,0.833333333,15,0.980000019073486,0.389999985694885,0.809599995613098,FALSE
"pBeans",1,"net.sourceforge.pbeans.Store",31.05405405,5,1.2297,2390,0,185,21,74,1,6,0,18,16,0,0.152296535,0.894216134,2517,0.959999978542328,0.449999988079071,0.777199996709824,FALSE
"pBeans",1,"net.sourceforge.pbeans.PersistentMap",27.71428571,1,0.8571,202,0,24,7,7,1,3,0,5,4,0,0.428571429,0,9,0.990000009536743,0.430000007152557,0.798399994373322,FALSE
"pBeans",1,"net.sourceforge.pbeans.util.BeanMapper",24,1,0.6667,75,0,17,3,3,0,0,0,0,0,0,0.5,2,3,0.860000014305115,0.25,0.684800003767014,FALSE
"pBeans",1,"net.sourceforge.pbeans.StoreException",5,0,0,18,1,6,3,3,0,7,0,7,0,0,0.777777778,2,3,0.949999988079071,0.419999986886978,0.573999999761581,FALSE
"pBeans",1,"net.sourceforge.pbeans.data.SQLServerDatabase",14.5,3,1.5,62,0,13,2,4,0,1,0,3,2,0,0.357142857,2,6,0.959999978542328,0.400000005960464,0.822399998903275,FALSE
"pBeans",1,"net.sourceforge.pbeans.data.IndexDescriptor",10.44444444,5,1.1111,106,0,15,9,9,1,2,1,2,0,1,0.4,0.416666667,10,0.980000019073486,0.419999986886978,0.777600003480911,FALSE
"pBeans",1,"net.sourceforge.pbeans.data.GenericDataSource",12,1,0.8333,159,0,25,12,12,1,0,0,0,0,0,0.333333333,0.787878788,48,0.899999976158142,0.270000010728836,0.721999995708466,FALSE
"pBeans",1,"net.sourceforge.pbeans.data.MySQLDatabase",17.25,2,1,73,0,13,2,4,0,1,0,3,2,0,0.458333333,2,6,0.97000002861023,0.490000009536743,0.841200001239777,FALSE
"pBeans",1,"net.sourceforge.pbeans.AbstractStoreInfo",62.42857143,27,5.1429,446,3,39,6,7,1,3,0,9,6,0,0.404761905,0.75,13,0.980000019073486,0.259999990463257,0.761600003242493,FALSE
"pBeans",1,"net.sourceforge.pbeans.ObjectClass",4.333333333,1,0.6667,34,0,7,6,6,1,2,0,3,1,0,0.555555556,0.6,3,0.870000004768372,0.490000009536743,0.631999995708466,TRUE
"pBeans",1,"net.sourceforge.pbeans.PersistentMap_StoreInfo",4.5,1,0.5,11,0,4,2,2,0,0,0,4,4,0,0.75,2,1,1,0.419999986886978,0.813600000143051,FALSE
"pBeans",1,"net.sourceforge.pbeans.Persistent",0,0,0,0,0,0,0,0,0,9,0,9,0,0,0,2,0,0.959999978542328,0.449999988079071,0.771199998855591,FALSE
