"project.name","version","name","amc","max_cc","avg_cc","loc","noc","rfc","npm","wmc","dam","ca","cbm","cbo","ce","ic","max.coupling","min.coupling","mean.coupling","is.change.prone"
"pBeans",2,"net.sourceforge.pbeans.DefaultStoreInfo",98.61904762,35,2.6667,2106,0,123,16,21,1,1,0,11,11,0,0.899999976158142,0.280000001192093,0.656521740814914,FALSE
"pBeans",2,"net.sourceforge.pbeans.SimpleOperator",8,3,1.2,46,0,10,5,5,1,1,0,1,1,0,0.990000009536743,0.189999997615814,0.555869563766148,FALSE
"pBeans",2,"net.sourceforge.pbeans.annotations.TransientProperty",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.879999995231628,0.230000004172325,0.638043479103109,TRUE
"pBeans",2,"net.sourceforge.pbeans.PersistentMap",23.5,2,1,345,0,41,11,14,1,2,0,4,4,0,0.980000019073486,0.430000007152557,0.752826082965602,FALSE
"pBeans",2,"net.sourceforge.pbeans.annotations.PropertyIndex",0,1,1,3,0,3,3,3,0,2,0,2,0,0,0.790000021457672,0.330000013113022,0.576956519614095,TRUE
"pBeans",2,"net.sourceforge.pbeans.data.ResultsIterator",0,1,1,1,0,1,1,1,0,5,0,5,0,0,0.850000023841858,0.370000004768372,0.602173910840698,FALSE
"pBeans",2,"net.sourceforge.pbeans.annotations.PersistentClass",0,1,1,6,0,6,6,6,0,1,0,2,1,0,0.97000002861023,0.469999998807907,0.77108695908733,FALSE
"pBeans",2,"net.sourceforge.pbeans.MultiValueContainer",5.75,1,0.75,28,0,9,4,4,1,1,0,2,1,0,0.980000019073486,0.370000004768372,0.72586956490641,TRUE
"pBeans",2,"net.sourceforge.pbeans.servlet.ServletAccess",51.83333333,1,0.6667,324,0,32,4,6,1,0,0,3,3,0,0.910000026226044,0.300000011920929,0.661086962274883,FALSE
"pBeans",2,"net.sourceforge.pbeans.servlet.InitServlet",25.33333333,1,0.6667,79,0,13,2,3,0,1,1,3,2,1,0.9200000166893,0.330000013113022,0.704999999507614,FALSE
"pBeans",2,"net.sourceforge.pbeans.PersistentID",6.666666667,3,1.1667,47,0,10,4,6,1,7,1,7,0,1,0.980000019073486,0.430000007152557,0.764782611442649,FALSE
"pBeans",2,"net.sourceforge.pbeans.Criteria",11.65,2,0.8,257,0,28,20,20,1,1,1,4,3,1,0.839999973773956,0.439999997615814,0.683260866481325,FALSE
