"project.name","version","name","amc","max_cc","avg_cc","loc","noc","rfc","npm","wmc","dam","ca","cbm","cbo","ce","ic","max.coupling","min.coupling","mean.coupling","is.change.prone"
"poi","2.0RC1","org.apache.poi.hssf.record.SSTDeserializer",27.60869565,8,2.3043,668,0,46,4,23,1,1,0,5,4,0,0.990000009536743,0.230000004172325,0.694967948998778,TRUE
"poi","2.0RC1","org.apache.poi.hssf.record.BottomMarginRecord",9,2,0.8333,122,0,23,10,12,0.5,2,6,6,4,1,1,0.550000011920929,0.92746795522861,TRUE
"poi","2.0RC1","org.apache.poi.hssf.record.MergeCellsRecord",23,2,1.1333,363,0,35,13,15,0.666666667,3,6,6,4,1,0.990000009536743,0.560000002384186,0.925288467070995,FALSE
"poi","2.0RC1","org.apache.poi.hssf.record.WindowProtectRecord",9.454545455,2,1,117,0,21,9,11,0.5,2,6,5,3,1,1,0.5799999833107,0.92730769686974,FALSE
"poi","2.0RC1","org.apache.poi.hssf.eventusermodel.HSSFRequest",27.75,2,1.25,116,0,17,3,4,1,3,0,8,5,0,0.990000009536743,0.46000000834465,0.910705129018961,FALSE
"poi","2.0RC1","org.apache.poi.hssf.record.formula.ConcatPtg",5.333333333,1,0.7778,60,0,13,9,9,0.333333333,2,0,4,2,0,0.980000019073486,0.5,0.900865385356622,FALSE
"poi","2.0RC1","org.apache.poi.hssf.record.DataFormatRecord",16.1,2,0.9,348,0,37,18,20,0.833333333,1,6,6,5,1,0.980000019073486,0.439999997615814,0.862371795452558,FALSE
"poi","2.0RC1","org.apache.poi.hssf.usermodel.HSSFCell",36.7,20,2.9,1151,0,104,22,30,0.6,5,0,20,16,0,1,0.550000011920929,0.93275641478025,FALSE
"poi","2.0RC1","org.apache.poi.hssf.record.ExternSheetRecord",15.14285714,2,1.0714,229,0,33,12,14,0.666666667,2,6,6,4,1,1,0.5799999833107,0.905929491688044,FALSE
"poi","2.0RC1","org.apache.poi.hssf.util.RangeAddress",24.36666667,6,2.6333,767,0,53,24,30,0,3,0,3,0,0,0.97000002861023,0.560000002384186,0.869134616393309,TRUE
"poi","2.0RC1","org.apache.poi.hssf.record.MulBlankRecord",13.78571429,2,1,212,0,25,11,14,0.8,3,5,6,3,1,1,0.589999973773956,0.923653852099027,FALSE
"poi","2.0RC1","org.apache.poi.util.StringUtil",40.08333333,10,2.5833,494,0,37,10,12,1,14,0,14,0,0,0.860000014305115,0.409999996423721,0.701538463242543,FALSE
"poi","2.0RC1","org.apache.poi.hssf.record.PrintGridlinesRecord",9.5,2,1,128,0,22,10,12,0.5,3,6,6,3,1,1,0.5799999833107,0.922596159271705,FALSE
"poi","2.0RC1","org.apache.poi.poifs.property.Parent",0,1,1,4,0,4,4,4,0,1,0,3,2,0,0.9200000166893,0.400000005960464,0.80464743450284,FALSE
"poi","2.0RC1","org.apache.poi.hssf.record.LabelRecord",13.69565217,6,1.5652,345,0,37,21,23,0.857142857,2,5,7,5,1,1,0.569999992847443,0.933365391424069,FALSE
"poi","2.0RC1","org.apache.poi.hssf.record.FooterRecord",12.14285714,3,1.1429,187,0,26,12,14,0.666666667,4,6,8,4,1,1,0.5799999833107,0.921217955266818,FALSE
"poi","2.0RC1","org.apache.poi.hssf.record.formula.AreaPtg",17.86206897,5,1.0345,556,0,53,28,29,0.888888889,2,2,7,6,1,1,0.550000011920929,0.915384612977505,TRUE
"poi","2.0RC1","org.apache.poi.hssf.record.CustomField",0,1,1,4,0,4,4,4,0,1,0,1,0,0,0.980000019073486,0.469999998807907,0.870801282139161,FALSE
"poi","2.0RC1","org.apache.poi.hssf.usermodel.HSSFErrorConstants",0,0,0,7,0,0,0,0,0,0,0,0,0,0,0.990000009536743,0.490000009536743,0.929423080422939,TRUE
"poi","2.0RC1","org.apache.poi.hssf.record.SCLRecord",12.71428571,2,0.8571,195,0,26,12,14,0.666666667,3,6,7,4,1,1,0.52999997138977,0.928076929388902,TRUE
"poi","2.0RC1","org.apache.poi.hssf.record.NumberRecord",14.36,7,1.76,389,0,41,23,25,0.8,7,6,11,4,1,0.990000009536743,0.620000004768372,0.903044875042561,FALSE
"poi","2.0RC1","org.apache.poi.hssf.eventmodel.ERFListener",0,1,1,1,0,1,1,1,0,3,0,4,1,0,0.980000019073486,0.379999995231628,0.828173075444423,FALSE
"poi","2.0RC1","org.apache.poi.hssf.dev.EFHSSFListener",5.5,1,0.5,14,0,4,2,2,0,1,0,3,3,0,0.990000009536743,0.419999986886978,0.892948718693776,TRUE
"poi","2.0RC1","org.apache.poi.hssf.record.formula.MultiplyPtg",7.454545455,1,0.8182,96,0,16,11,11,0.333333333,2,0,4,3,0,0.980000019073486,0.5,0.914775639581375,FALSE
"poi","2.0RC1","org.apache.poi.hssf.record.MulRKRecord",14,2,1,230,0,34,12,15,0.8,3,5,8,5,1,1,0.589999973773956,0.922564107638139,FALSE
"poi","2.0RC1","org.apache.poi.hssf.record.ExtSSTRecord",17.47058824,3,1.2353,319,0,41,15,17,0.4,4,6,8,4,1,1,0.589999973773956,0.913333338804734,FALSE
"poi","2.0RC1","org.apache.poi.hssf.record.BlankRecord",14.04347826,7,1.8261,350,0,36,21,23,0.75,5,6,9,4,1,1,0.560000002384186,0.928237186028407,TRUE
"poi","2.0RC1","org.apache.poi.hssf.record.formula.AbstractFunctionPtg",614.0625,5,1.1875,9849,2,31,11,16,0.75,3,0,6,3,0,0.980000019073486,0.550000011920929,0.881057696273694,FALSE
"poi","2.0RC1","org.apache.poi.hssf.record.AxisRecord",16.55,2,0.9,360,0,35,18,20,0.555555556,1,6,5,4,1,1,0.589999973773956,0.912339745805814,FALSE
"poi","2.0RC1","org.apache.poi.hssf.record.ExtSSTInfoSubRecord",9.615384615,1,0.7692,143,0,24,11,13,0.6,1,6,3,2,1,1,0.5799999833107,0.919134620863658,TRUE
"poi","2.0RC1","org.apache.poi.poifs.property.Child",0,1,1,4,0,4,4,4,0,3,0,3,0,0,0.9200000166893,0.46000000834465,0.795576922882062,FALSE
"poi","2.0RC1","org.apache.poi.hssf.record.LeftMarginRecord",9,2,0.8333,122,0,23,10,12,0.5,2,6,6,4,1,1,0.569999992847443,0.930448724864385,FALSE
"poi","2.0RC1","org.apache.poi.hssf.record.RecordFormatException",4,0,0,5,0,2,1,1,0,124,0,124,0,0,0.980000019073486,0.310000002384186,0.802147435263181,TRUE
"poi","2.0RC1","org.apache.poi.hssf.record.formula.ExpPtg",8.428571429,2,1,69,0,10,7,7,0.666666667,2,2,3,2,1,0.990000009536743,0.52999997138977,0.89596153757511,FALSE
"poi","2.0RC1","org.apache.poi.hssf.record.RkRec",3,0,0,6,0,2,0,1,0,1,0,1,0,0,0.990000009536743,0.469999998807907,0.874583333444137,TRUE
"poi","2.0RC1","org.apache.poi.hssf.record.aggregates.RowRecordsAggregate",11.07142857,5,1.3571,173,0,30,12,14,0,1,5,3,2,1,0.980000019073486,0.469999998807907,0.88105769503193,TRUE
"poi","2.0RC1","org.apache.poi.util.POILogger",25.46153846,10,1.9615,693,3,42,22,26,0,8,0,9,1,0,0.959999978542328,0.319999992847443,0.837179488478563,FALSE
"poi","2.0RC1","org.apache.poi.hssf.record.formula.StringPtg",20.77777778,2,0.8889,202,0,22,8,9,0.166666667,2,2,5,4,1,0.980000019073486,0.519999980926514,0.899839742634541,FALSE
"poi","2.0RC1","org.apache.poi.util.IOUtils",13.33333333,1,0.6667,43,0,5,2,3,0,3,0,3,0,0,0.879999995231628,0.360000014305115,0.665096155248391,TRUE
"poi","2.0RC1","org.apache.poi.poifs.storage.RawDataBlock",24.33333333,1,0.6667,78,0,10,3,3,1,5,0,7,2,0,0.990000009536743,0.5,0.913589743276437,FALSE
"poi","2.0RC1","org.apache.poi.hssf.record.IterationRecord",9.416666667,2,1,127,0,22,10,12,0.5,2,6,5,3,1,0.990000009536743,0.620000004768372,0.916891031540357,TRUE
