"project.name","version","name","amc","max_cc","avg_cc","loc","noc","rfc","npm","wmc","dam","ca","cbm","cbo","ce","ic","cam","lcom3","lcom","max.coupling","min.coupling","mean.coupling","is.change.prone"
"poi","2.5.1","org.apache.poi.hssf.record.ValueRangeRecord",18.25,2,0.95,786,0,60,38,40,0.9375,1,6,6,5,1,0.275,0.838141026,90,0.990000009536743,0.589999973773956,0.920000006106753,FALSE
"poi","2.5.1","org.apache.poi.ddf.EscherRecord",5.95,2,1.05,141,14,36,18,20,1,31,0,32,4,0,0.2375,0.842105263,164,1,0.569999992847443,0.936005228337669,FALSE
"poi","2.5.1","org.apache.poi.hssf.usermodel.HSSFRow",17.54166667,5,1.7083,451,0,52,16,24,0.833333333,4,0,9,5,0,0.183333333,0.673913043,86,1,0.519999980926514,0.934412536982145,FALSE
"poi","2.5.1","org.apache.poi.hssf.record.ObjectLinkRecord",14.3125,2,0.875,254,0,28,14,16,0.333333333,1,6,5,4,1,0.46875,0.933333333,72,1,0.569999992847443,0.902454313347919,FALSE
"poi","2.5.1","org.apache.poi.hssf.record.formula.NamePtg",16.875,1,0.625,148,0,20,7,8,0.6,2,2,5,4,1,0.375,0.8,4,1,0.519999980926514,0.917832899965132,FALSE
"poi","2.5.1","org.apache.poi.hssf.record.PasswordRev4Record",8.454545455,2,0.8182,106,0,21,9,11,0.5,2,6,5,3,1,0.522727273,0.85,49,1,0.550000011920929,0.935143610827294,FALSE
"poi","2.5.1","org.apache.poi.ddf.EscherBoolProperty",7,2,1.3333,24,0,4,3,3,0,5,0,6,1,0,0.555555556,2,1,1,0.509999990463257,0.923315928748009,FALSE
"poi","2.5.1","org.apache.poi.hssf.model.TextboxShape",31.875,1,0.875,267,0,59,4,8,1,2,1,20,19,1,0.666666667,0.821428571,20,0.97000002861023,0.5799999833107,0.863394257449606,FALSE
"poi","2.5.1","org.apache.poi.hssf.usermodel.HSSFPatriarch",11.5,2,1,156,0,24,11,12,0,2,0,10,9,0,0.375,0.787878788,6,1,0.550000011920929,0.936135775893538,FALSE
"poi","2.5.1","org.apache.poi.poifs.property.DirectoryProperty",33.5,6,1.625,278,1,37,6,8,1,7,1,11,5,1,0.375,0.357142857,0,0.97000002861023,0.360000014305115,0.880548302560811,FALSE
"poi","2.5.1","org.apache.poi.hssf.usermodel.HSSFHeader",14.375,4,1.125,250,0,30,14,16,0,1,0,2,1,0,0.21875,0.683333333,88,0.990000009536743,0.349999994039536,0.836292428618623,FALSE
"poi","2.5.1","org.apache.poi.hssf.record.formula.Ref3DPtg",17.63636364,5,1.0455,417,0,51,22,22,0.857142857,3,2,9,7,1,0.233766234,0.721088435,89,0.990000009536743,0.52999997138977,0.906031332812795,FALSE
"poi","2.5.1","org.apache.poi.hssf.record.LabelSSTRecord",14.4,7,1.76,390,0,40,23,25,0.8,4,6,8,4,1,0.3,0.758333333,258,1,0.569999992847443,0.937597917670058,FALSE
"poi","2.5.1","org.apache.poi.hssf.record.TextRecord",20.58064516,2,0.9677,1390,0,85,60,62,0.5,1,6,6,5,1,0.266129032,0.953972257,611,0.990000009536743,0.569999992847443,0.918746741726878,FALSE
"poi","2.5.1","org.apache.poi.hssf.record.DBCellRecord",15.53333333,3,1.2,251,0,32,13,15,0.666666667,4,6,7,3,1,0.483333333,0.785714286,79,1,0.550000011920929,0.934281989581902,FALSE
"poi","2.5.1","org.apache.poi.hssf.record.DatRecord",14.75,2,0.9,321,0,37,18,20,0.833333333,1,6,6,5,1,0.36,0.684210526,0,1,0.52999997138977,0.923159273735226,FALSE
"poi","2.5.1","org.apache.poi.poifs.property.PropertyConstants",0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,2,0,0.97000002861023,0.300000011920929,0.792663183520419,FALSE
"poi","2.5.1","org.apache.poi.hpsf.SpecialPropertySet",4.2,1,0.9,53,2,20,10,10,1,2,2,5,3,1,0.55,0,0,0.990000009536743,0.400000005960464,0.890887732527586,FALSE
"poi","2.5.1","org.apache.poi.hssf.record.DefaultColWidthRecord",8.583333333,2,0.8333,117,0,22,10,12,0.5,2,6,5,3,1,0.5,0.818181818,54,1,0.479999989271164,0.891018275570309,TRUE
"poi","2.5.1","org.apache.poi.hssf.usermodel.HSSFSheet",14.32258065,18,1.6559,1441,0,244,79,93,0.4375,6,0,33,28,0,0.144927536,0.925951087,0,1,0.52999997138977,0.936788515851641,FALSE
"poi","2.5.1","org.apache.poi.hssf.eventusermodel.HSSFListener",0,1,1,1,0,1,1,1,0,6,0,7,1,0,1,2,0,0.990000009536743,0.449999988079071,0.918668407839832,TRUE
"poi","2.5.1","org.apache.poi.hssf.record.EscherAggregate",47,11,2.4,1170,0,126,10,20,0.019047619,3,7,34,32,2,0.161538462,1.047117794,130,0.990000009536743,0.469999998807907,0.893629245362767,FALSE
"poi","2.5.1","org.apache.poi.hssf.usermodel.HSSFWorkbook",32.7037037,32,2.2963,1831,0,183,45,54,0.727272727,4,0,34,30,0,0.140161725,0.878216123,89,1,0.5,0.933838124063557,FALSE
"poi","2.5.1","org.apache.poi.hssf.record.WindowOneRecord",12.68421053,2,0.9211,536,0,52,35,38,0.9375,2,6,6,4,1,0.335135135,0.898648649,479,1,0.5799999833107,0.931566584514887,FALSE
"poi","2.5.1","org.apache.poi.hssf.record.ColumnInfoRecord",12.40740741,2,0.8889,372,0,42,24,27,0.9,3,6,7,4,1,0.346153846,0.846153846,209,1,0.589999973773956,0.931879901387984,FALSE
"poi","2.5.1","org.apache.poi.poifs.storage.HeaderBlockWriter",38.5,4,1.375,324,0,19,6,8,1,2,2,8,6,1,0.583333333,0.821428571,0,0.990000009536743,0.310000002384186,0.829895561731204,FALSE
"poi","2.5.1","org.apache.poi.util.FixedField",0,1,1,4,0,4,4,4,0,4,0,5,1,0,0.583333333,2,6,0.990000009536743,0.449999988079071,0.845926893442169,FALSE
"poi","2.5.1","org.apache.poi.hssf.record.ProtectRecord",9.416666667,2,1,127,0,22,10,12,0.5,4,6,7,3,1,0.4,0.818181818,46,0.990000009536743,0.540000021457672,0.92261097123044,FALSE
"poi","2.5.1","org.apache.poi.hssf.record.SubRecord",14.25,5,1.25,61,3,11,4,4,0,4,0,6,5,0,0.6875,2,6,1,0.540000021457672,0.931879903099867,FALSE
"poi","2.5.1","org.apache.poi.hssf.record.AxisOptionsRecord",19.79545455,2,0.9545,933,0,61,42,44,0.944444444,1,6,6,5,1,0.327272727,0.860465116,312,0.990000009536743,0.610000014305115,0.918015666792349,FALSE
"poi","2.5.1","org.apache.poi.poifs.storage.BlockListImpl",16.5,3,1.1667,107,2,13,4,6,1,2,0,5,3,0,0.458333333,0.5,0,0.97000002861023,0.5,0.867885118676228,FALSE
"poi","2.5.1","org.apache.poi.hssf.record.PasswordRecord",8.583333333,2,0.8333,117,0,22,10,12,0.5,2,6,5,3,1,0.5,0.818181818,54,1,0.560000002384186,0.934490869157308,FALSE
"poi","2.5.1","org.apache.poi.hssf.record.formula.ReferencePtg",13.63157895,3,0.9474,284,0,38,18,19,0.833333333,2,2,6,5,1,0.22556391,0.685185185,21,0.97000002861023,0.519999980926514,0.886422977901937,FALSE
"poi","2.5.1","org.apache.poi.hssf.record.TabIdRecord",15.36363636,2,1.0909,182,0,25,9,11,0,2,6,5,3,1,0.418181818,0.8,43,1,0.540000021457672,0.936318545677643,TRUE
"poi","2.5.1","org.apache.poi.hssf.record.Record",4.6,1,0.8,84,132,23,12,15,0,155,0,155,0,0,0.483333333,2,105,1,0.560000002384186,0.933707578530822,FALSE
"poi","2.5.1","org.apache.poi.hssf.record.RecalcIdRecord",14.23076923,2,1.0769,201,0,27,11,13,0.333333333,1,6,4,3,1,0.333333333,0.777777778,46,1,0.5799999833107,0.936579640478129,FALSE
