"project.name","version","name","amc","max_cc","avg_cc","loc","noc","rfc","npm","wmc","dam","ca","cbm","cbo","ce","ic","cam","lcom3","lcom","max.coupling","min.coupling","mean.coupling","is.change.prone"
"poi",3,"org.apache.poi.poifs.storage.HeaderBlockReader",27.71428571,2,1,207,0,21,7,7,1,2,0,8,6,0,0.571428571,0.833333333,9,0.990000009536743,0.330000013113022,0.790704543820836,FALSE
"poi",3,"org.apache.poi.hssf.record.formula.RefVPtg",6.8,1,0.4,40,0,13,4,5,0,2,1,4,2,1,0.4,1.25,10,1,0.509999990463257,0.900090910358862,FALSE
"poi",3,"org.apache.poi.hssf.usermodel.HSSFChildAnchor",8.2,2,1,46,0,7,5,5,0,4,1,5,1,1,0.7,2,6,1,0.479999989271164,0.919568185982379,FALSE
"poi",3,"org.apache.poi.hssf.record.LeftMarginRecord",8.545454545,2,0.9091,107,0,21,9,11,0.5,2,4,7,5,1,0.257575758,0.8,35,1,0.490000009536743,0.926454551382498,FALSE
"poi",3,"org.apache.poi.hssf.record.formula.SubtractPtg",5.333333333,1,0.7778,59,0,13,9,9,0,2,0,5,3,0,0.259259259,1.125,36,0.990000009536743,0.479999989271164,0.917181816764853,TRUE
"poi",3,"org.apache.poi.poifs.filesystem.POIFSDocument",27.0625,6,1.0625,453,0,55,14,16,1,9,0,20,14,0,0.198863636,0.5,0,0.990000009536743,0.449999988079071,0.885431818528609,FALSE
"poi",3,"org.apache.poi.hssf.record.formula.ExpPtg",9,1,0.8,104,0,18,10,10,0.75,2,2,6,5,1,0.28,0.833333333,27,0.990000009536743,0.52999997138977,0.893136363137852,TRUE
"poi",3,"org.apache.poi.ddf.EscherProperties",168.2857143,2,1.2857,1460,0,16,3,7,0.003636364,5,0,6,1,0,0.19047619,1.164242424,9,0.990000009536743,0.569999992847443,0.914590908045119,FALSE
"poi",3,"org.apache.poi.hssf.record.RkRec",3,0,0,6,0,2,0,1,0,1,0,1,0,0,1,2,0,0.990000009536743,0.469999998807907,0.87684090889313,FALSE
"poi",3,"org.apache.poi.ddf.EscherComplexProperty",18,4,1.1111,172,1,32,9,9,0,2,1,6,4,1,0.351851852,0.125,0,1,0.479999989271164,0.910727271776308,FALSE
"poi",3,"org.apache.poi.hssf.record.formula.RefNPtg",4,1,0.6667,31,0,9,5,6,0,2,0,5,3,0,0.333333333,1.2,15,1,0.5,0.898681819438934,FALSE
"poi",3,"org.apache.poi.util.POILogger",25.46153846,10,1.9615,693,3,42,22,26,0,10,0,11,1,0,0.544871795,1.04,325,0.97000002861023,0.319999992847443,0.837363637374206,FALSE
"poi",3,"org.apache.poi.ddf.EscherRGBProperty",6,1,0.8,35,0,6,5,5,0,3,0,4,1,0,0.466666667,2,0,1,0.479999989271164,0.910931817306714,TRUE
"poi",3,"org.apache.poi.hssf.util.HSSFColor",152.5,1,0.8333,923,49,56,6,6,1,51,0,51,46,0,0.666666667,1.2,15,1,0.469999998807907,0.91981818438931,FALSE
"poi",3,"org.apache.poi.util.IOUtils",13.33333333,1,0.6667,43,0,5,2,3,0,3,0,3,0,0,0.5,2,3,0.899999976158142,0.319999992847443,0.671568182855845,FALSE
"poi",3,"org.apache.poi.poifs.storage.RawDataBlock",26,1,0.6667,83,0,10,3,3,1,5,0,7,2,0,0.666666667,0.25,0,0.990000009536743,0.5,0.91249999945814,FALSE
"poi",3,"org.apache.poi.ddf.EscherSpRecord",24.58333333,14,2,323,0,34,11,12,0.125,8,5,13,5,1,0.35,1.034090909,32,1,0.5,0.92915909669616,FALSE
"poi",3,"org.apache.poi.hpsf.CustomProperties",24.8125,3,1.1875,416,0,52,14,16,1,1,7,4,3,2,0.1875,0.266666667,82,0.939999997615814,0.469999998807907,0.807931816984307,FALSE
"poi",3,"org.apache.poi.hssf.record.IterationRecord",9,2,1.0909,112,0,20,9,11,0.5,2,4,6,4,1,0.257575758,0.8,35,0.990000009536743,0.479999989271164,0.914727277579633,FALSE
"poi",3,"org.apache.poi.poifs.storage.PropertyBlock",25.5,3,1.25,108,0,11,2,4,1,1,1,5,4,1,0.4,0.833333333,4,0.990000009536743,0.379999995231628,0.865522729537704,TRUE
"poi",3,"org.apache.poi.hssf.record.RecordInputStream",21.5,7,1.6923,595,1,54,25,26,0.8,212,1,214,3,1,0.288461538,0.552,111,0.97000002861023,0.409999996423721,0.862090909210118,FALSE
"poi",3,"org.apache.poi.hssf.record.formula.AreaNAPtg",4,1,0.6667,31,0,9,5,6,0,2,1,5,3,1,0.333333333,1.2,15,1,0.560000002384186,0.915795454247431,FALSE
"poi",3,"org.apache.poi.hpsf.HPSFRuntimeException",7.125,2,0.75,66,4,16,8,8,1,11,1,11,0,1,0.35,0.428571429,22,0.980000019073486,0.219999998807907,0.732749998840419,FALSE
"poi",3,"org.apache.poi.hssf.record.VerticalPageBreakRecord",3.25,1,0.25,18,0,7,4,4,0,1,3,3,2,1,0.5,1.333333333,6,0.990000009536743,0.449999988079071,0.922386367077177,FALSE
"poi",3,"org.apache.poi.hpsf.wellknown.SectionIDMap",35.375,3,1.125,295,0,15,7,8,0.25,4,1,5,1,1,0.342857143,0.857142857,26,0.97000002861023,0.389999985694885,0.869477275081656,FALSE
"poi",3,"org.apache.poi.hssf.record.SeriesLabelsRecord",13.08695652,2,0.9565,332,0,39,21,23,0.875,0,4,7,7,1,0.253623188,0.738636364,0,1,0.490000009536743,0.909181821888143,FALSE
"poi",3,"org.apache.poi.hssf.eventusermodel.HSSFUserException",4.6,1,0.2,29,0,7,5,5,1,3,0,3,0,0,0.6,0.5,4,0.980000019073486,0.259999990463257,0.818886362016201,FALSE
"poi",3,"org.apache.poi.hssf.eventusermodel.HSSFRequest",27.75,2,1.25,116,0,17,3,4,1,2,0,7,5,0,0.5,0,0,0.990000009536743,0.46000000834465,0.909250000186942,FALSE
"poi",3,"org.apache.poi.hssf.dev.BiffViewer",123.75,126,17.125,1000,0,166,5,8,0.5,1,0,133,133,0,0.234375,0.714285714,24,0.980000019073486,0.349999994039536,0.831681816754016,FALSE
"poi",3,"org.apache.poi.hssf.record.formula.ConcatPtg",5.333333333,1,0.7778,60,0,13,9,9,0.333333333,2,0,5,3,0,0.259259259,1.125,36,0.980000019073486,0.5,0.901431819254702,TRUE
"poi",3,"org.apache.poi.hssf.record.DataFormatRecord",14.68421053,2,0.9474,304,0,35,17,19,0.833333333,1,4,8,7,1,0.254385965,0.759259259,77,0.980000019073486,0.409999996423721,0.860068183866414,TRUE
"poi",3,"org.apache.poi.poifs.storage.RawDataBlockList",9,1,0.8,50,0,16,5,5,0,4,0,8,4,0,0.5,2,10,0.990000009536743,0.469999998807907,0.925386367941445,TRUE
"poi",3,"org.apache.poi.hssf.usermodel.HSSFCell",34.5,18,2.7778,1294,0,144,27,36,0.4375,5,0,28,24,0,0.124074074,0.846428571,104,1,0.5,0.929500004649162,FALSE
"poi",3,"org.apache.poi.hssf.eventmodel.ModelFactory",21.8,7,2.2,117,0,24,4,5,0,0,0,8,8,0,0.36,0.666666667,2,0.949999988079071,0.349999994039536,0.769772726636041,TRUE
"poi",3,"org.apache.poi.poifs.storage.BlockAllocationTableWriter",15.375,3,1.375,134,0,17,7,8,1,2,0,7,5,0,0.458333333,0.571428571,0,0.990000009536743,0.469999998807907,0.907727274163203,FALSE
"poi",3,"org.apache.poi.hssf.util.RangeAddress",24.56666667,6,2.6667,773,0,53,24,30,0,3,0,3,0,0,0.391666667,0.873563218,331,0.97000002861023,0.449999988079071,0.867227274450389,FALSE
"poi",3,"org.apache.poi.poifs.dev.POIFSViewer",36.33333333,4,2.3333,112,0,21,2,3,0,0,0,2,2,0,0.333333333,2,3,0.990000009536743,0.409999996423721,0.901090910556641,FALSE
"poi",3,"org.apache.poi.util.StringUtil",31.64285714,10,2.5714,458,0,42,12,14,1,12,0,12,0,0,0.255102041,1.076923077,91,0.860000014305115,0.349999994039536,0.699045456607233,FALSE
"poi",3,"org.apache.poi.hssf.record.LineFormatRecord",15.56,2,0.96,436,0,44,23,25,0.363636364,1,4,8,7,1,0.253333333,0.939393939,108,1,0.430000007152557,0.916727276823737,FALSE
"poi",3,"org.apache.poi.hssf.record.BlankRecord",13.86363636,7,1.9091,331,0,34,20,22,0.75,5,4,10,5,1,0.227272727,0.714285714,199,1,0.46000000834465,0.92475000613115,FALSE
