"project.name","version","name","amc","max_cc","avg_cc","loc","noc","rfc","npm","wmc","dam","ca","cbm","cbo","ce","ic","cam","lcom3","lcom","max.coupling","min.coupling","mean.coupling","is.change.prone"
"synapse",1,"org.apache.synapse.config.xml.ProxyServiceFactory",96.16666667,39,7,585,0,65,2,6,0.5,1,0,12,11,0,0.3,0.7,3,0.980000019073486,0.340000003576279,0.882483662733066,FALSE
"synapse",1,"org.apache.synapse.config.xml.OutMediatorFactory",6.25,1,0.5,30,0,9,3,4,1,0,0,5,5,0,0.666666667,0.666666667,4,1,0.419999986886978,0.916274512710135,FALSE
"synapse",1,"org.apache.synapse.config.xml.FaultMediatorFactory",81,17,3.8,423,0,41,3,5,0.923076923,0,0,11,11,0,0.416666667,0.846153846,6,1,0.389999985694885,0.919803925199446,TRUE
"synapse",1,"org.apache.synapse.statistics.impl.SequenceStatisticsStack",24.5,7,3,154,0,22,5,6,1,4,0,6,3,0,0.5,0,0,0.980000019073486,0.330000013113022,0.912875821193059,FALSE
"synapse",1,"org.apache.synapse.config.XMLToObjectMapper",0,1,1,1,0,1,1,1,0,8,0,9,1,0,1,2,0,0.9200000166893,0.560000002384186,0.797712418768141,FALSE
"synapse",1,"org.apache.synapse.core.axis2.TimeoutHandler",33,4,1.75,139,0,22,2,4,1,1,0,4,3,0,0.625,0.555555556,2,0.949999988079071,0.0599999986588955,0.640588234623078,TRUE
"synapse",1,"org.apache.synapse.mediators.builtin.LogMediator",23.61111111,7,1.8889,454,0,60,9,18,0.454545455,3,0,13,10,0,0.25210084,0.903743316,65,0.990000009536743,0.379999995231628,0.913529412808761,FALSE
"synapse",1,"org.apache.synapse.config.xml.AnonymousListMediator",3.5,1,0.5,9,0,4,2,2,0,5,0,7,2,0,0.75,2,1,0.990000009536743,0.46000000834465,0.922287581598057,FALSE
"synapse",1,"org.apache.synapse.registry.AbstractRegistry",26.125,14,2.375,220,1,41,5,8,0.666666667,1,0,10,9,0,0.357142857,0.857142857,20,0.949999988079071,0.469999998807907,0.843333332367193,FALSE
"synapse",1,"org.apache.synapse.statistics.Statistics",13,5,1.4286,104,0,8,7,7,1,1,0,1,0,0,0.428571429,0.722222222,0,0.990000009536743,0.46000000834465,0.908823530853184,FALSE
"synapse",1,"org.apache.synapse.config.xml.endpoints.EndpointSerializer",0,1,1,1,0,1,1,1,0,10,0,12,2,0,1,2,0,1,0.349999994039536,0.9119607874381,FALSE
"synapse",1,"org.apache.synapse.mediators.filters.OutMediator",16.2,6,1.6,89,0,17,3,5,0.666666667,2,2,7,5,2,0.5,0.833333333,8,1,0.379999995231628,0.928235300615722,FALSE
"synapse",1,"org.apache.synapse.config.xml.DropMediatorFactory",5.5,1,0.5,27,0,8,3,4,1,0,0,4,4,0,0.666666667,0.666666667,4,0.990000009536743,0.449999988079071,0.920392163438735,TRUE
"synapse",1,"org.apache.synapse.config.xml.AbstractMediatorSerializer",21.25,5,1.75,183,11,35,4,8,0.8,11,0,25,14,0,0.333333333,0.685714286,20,1,0.490000009536743,0.913856213388879,TRUE
"synapse",1,"org.apache.synapse.core.axis2.AnonymousServiceFactory",35.83333333,14,2.8333,230,0,32,2,6,0.777777778,1,0,15,14,0,0.32,1,9,0.980000019073486,0.400000005960464,0.879019607710682,FALSE
"synapse",1,"org.apache.synapse.config.xml.endpoints.utils.WSDL20EndpointBuilder",3,0,0,4,0,2,1,1,0,0,0,0,0,0,1,2,0,1,0.239999994635582,0.86261438008617,TRUE
"synapse",1,"org.apache.synapse.core.axis2.AsyncCallback",3.888888889,1,0.8889,47,0,10,9,9,0.666666667,3,0,6,3,0,0.277777778,0.791666667,22,0.949999988079071,0.310000002384186,0.800588233798158,FALSE
"synapse",1,"org.apache.synapse.endpoints.WSDLEndpoint",13.69565217,13,1.6957,350,0,59,21,23,0.916666667,3,1,15,12,1,0.210227273,0.924242424,203,0.990000009536743,0.28999999165535,0.876993467410406,TRUE
"synapse",1,"org.apache.synapse.config.xml.ClassMediatorSerializer",16,4,1.3333,105,0,26,3,6,0.333333333,0,2,11,11,1,0.4,0.866666667,13,1,0.469999998807907,0.90960784733685,FALSE
"synapse",1,"org.apache.synapse.config.xml.endpoints.FailoverEndpointFactory",14.66666667,3,1.2222,144,0,33,3,9,0.666666667,1,0,10,10,0,0.232142857,0.833333333,28,1,0.310000002384186,0.910130720317753,TRUE
"synapse",1,"org.apache.synapse.mediators.transform.XSLTMediator",29.93333333,10,1.8,473,0,68,9,15,0.777777778,2,0,17,15,0,0.223214286,0.825396825,43,0.980000019073486,0.449999988079071,0.89849673104442,TRUE
"synapse",1,"org.apache.synapse.endpoints.SALoadbalanceEndpoint",13.21052632,7,1.4737,279,0,50,15,19,0.888888889,4,0,16,12,0,0.222222222,0.87037037,105,0.990000009536743,0.28999999165535,0.898496734355789,FALSE
"synapse",1,"org.apache.synapse.config.xml.endpoints.IndirectEndpointFactory",9.625,2,0.875,88,0,21,3,8,0.666666667,1,0,9,8,0,0.238095238,0.80952381,20,0.990000009536743,0.349999994039536,0.905359479921316,FALSE
"synapse",1,"org.apache.synapse.config.xml.XMLConfigurationBuilder",32.53846154,19,2.7692,438,0,79,4,13,0.5,1,0,25,24,0,0.25,0.666666667,66,0.9200000166893,0.310000002384186,0.739281046039918,FALSE
"synapse",1,"org.apache.synapse.config.xml.SendMediatorFactory",14.6,3,1,81,0,18,3,5,0.666666667,0,0,10,10,0,0.416666667,0.916666667,8,1,0.409999996423721,0.919019611248004,FALSE
"synapse",1,"org.apache.synapse.config.xml.InMediatorFactory",6.25,1,0.5,30,0,9,3,4,1,0,0,5,5,0,0.666666667,0.666666667,4,0.990000009536743,0.469999998807907,0.911307187836155,FALSE
"synapse",1,"org.apache.synapse.endpoints.dispatch.HttpSessionDispatcher",24.4,5,3,128,0,14,5,5,0,2,0,7,5,0,0.6,0.25,0,0.97000002861023,0.419999986886978,0.866797385067722,FALSE
"synapse",1,"org.apache.synapse.Constants",6,0,0,69,0,3,0,1,0,8,0,11,3,0,0,2,0,0.810000002384186,0.310000002384186,0.600915031495437,TRUE
"synapse",1,"org.apache.synapse.config.xml.XMLConfigurationSerializer",28.75,2,1.125,243,0,44,2,8,0.8,0,0,21,21,0,0.261904762,0.885714286,24,0.939999997615814,0.389999985694885,0.828366014887305,TRUE
"synapse",1,"org.apache.synapse.config.xml.endpoints.EndpointFactory",0,1,1,1,0,1,1,1,0,11,0,14,3,0,1,2,0,0.990000009536743,0.28999999165535,0.884967320105609,TRUE
"synapse",1,"org.apache.synapse.config.xml.SendMediatorSerializer",14.83333333,4,1.3333,98,0,24,3,6,0.333333333,0,2,13,13,1,0.4,0.866666667,13,1,0.419999986886978,0.917058826077218,TRUE
"synapse",1,"org.apache.synapse.config.SynapseConfiguration",16.3125,8,1.875,561,0,76,29,32,0.714285714,13,0,29,17,0,0.225806452,0.824884793,172,0.959999978542328,0.439999997615814,0.895686279324924,FALSE
"synapse",1,"org.apache.synapse.mediators.transform.HeaderMediator",29,23,2.6667,459,0,58,10,15,0.666666667,2,0,18,16,0,0.224489796,0.873015873,43,0.97000002861023,0.360000014305115,0.898496733187071,FALSE
"synapse",1,"org.apache.synapse.config.xml.SequenceMediatorFactory",32.83333333,9,2.8333,206,0,24,4,6,0.666666667,1,1,10,9,1,0.466666667,0.866666667,11,1,0.349999994039536,0.917124186271156,FALSE
"synapse",1,"org.apache.synapse.endpoints.algorithms.LoadbalanceAlgorithm",0,1,1,2,0,2,2,2,0,8,0,10,2,0,0.75,2,1,0.949999988079071,0.430000007152557,0.853921568082049,FALSE
"synapse",1,"org.apache.synapse.config.xml.SwitchMediatorFactory",39.2,5,1.4,206,0,33,3,5,0.8,0,0,14,14,0,0.416666667,0.8,6,1,0.409999996423721,0.92294118081043,TRUE
"synapse",1,"org.apache.synapse.config.xml.AbstractListMediatorSerializer",13.2,3,1,73,7,22,1,5,0.5,7,2,15,8,1,0.3125,0.75,8,1,0.5,0.912156868993846,FALSE
"synapse",1,"org.apache.synapse.core.axis2.SynapseDispatcher",10.16666667,1,0.6667,72,0,20,4,6,0.8,0,3,10,10,2,0.4,1.04,13,0.990000009536743,0.419999986886978,0.900065361869101,FALSE
"synapse",1,"org.apache.synapse.config.xml.AbstractMediatorFactory",17,5,2.5,36,11,8,1,2,0,11,0,15,4,0,0.666666667,2,1,1,0.490000009536743,0.903398694555744,FALSE
"synapse",1,"org.apache.synapse.config.xml.endpoints.XMLToEndpointMapper",6.75,2,0.75,32,0,8,2,4,1,1,0,8,7,0,0.5,0.666666667,4,0.97000002861023,0.360000014305115,0.897777781377431,TRUE
"synapse",1,"org.apache.synapse.endpoints.dispatch.Dispatcher",0,1,1,4,0,4,4,4,0,6,0,8,2,0,0.666666667,2,6,0.910000026226044,0.46000000834465,0.716928103975221,FALSE
"synapse",1,"org.apache.synapse.config.xml.endpoints.FailoverEndpointSerializer",37,4,2,77,0,14,2,2,1,1,0,12,12,0,0.75,0,0,1,0.360000014305115,0.917450983150333,TRUE
"synapse",1,"org.apache.synapse.mediators.builtin.SendMediator",29.16666667,12,2.5,185,0,34,4,6,0.75,4,0,17,13,0,0.35,0.75,1,1,0.360000014305115,0.925620916232564,TRUE
"synapse",1,"org.apache.synapse.config.xml.PropertyMediatorFactory",41.6,14,3.2,216,0,28,3,5,0.666666667,0,0,11,11,0,0.416666667,0.833333333,6,0.990000009536743,0.409999996423721,0.910653594467375,FALSE
"synapse",1,"org.apache.synapse.core.axis2.SynapseMessageReceiver",46.5,1,0.5,192,1,40,2,4,0.5,2,0,18,16,0,0.444444444,0.833333333,4,0.990000009536743,0.349999994039536,0.915686276418711,TRUE
