"project.name","version","name","amc","max_cc","avg_cc","loc","noc","rfc","npm","wmc","dam","ca","cbm","cbo","ce","ic","max.coupling","min.coupling","mean.coupling","is.change.prone"
"synapse",1.1,"org.apache.synapse.registry.AbstractRegistry",31.57142857,20,3.4286,230,1,38,5,7,1,1,0,10,9,0,0.949999988079071,0.469999998807907,0.841863636401567,FALSE
"synapse",1.1,"org.apache.synapse.core.SynapseEnvironment",0,1,1,9,0,9,9,9,0,22,0,25,4,0,0.990000009536743,0.600000023841858,0.900909091396765,TRUE
"synapse",1.1,"org.apache.synapse.config.xml.XSLTMediatorSerializer",46.33333333,10,3.6667,142,0,31,3,3,0,0,0,11,11,0,0.990000009536743,0.490000009536743,0.889000002904372,FALSE
"synapse",1.1,"org.apache.synapse.metrics.GlobalRequestCountHandler",9,1,0.5,20,0,9,2,2,0,0,0,7,7,0,0.97000002861023,0.509999990463257,0.847545457428152,FALSE
"synapse",1.1,"org.apache.synapse.mediators.builtin.PropertyMediator",30.91666667,30,3.3333,390,0,37,12,12,0.714285714,2,0,10,8,0,0.980000019073486,0.430000007152557,0.883772731098262,FALSE
"synapse",1.1,"org.apache.synapse.config.xml.endpoints.FailoverEndpointSerializer",37,4,2,77,0,14,2,2,1,1,0,12,12,0,1,0.430000007152557,0.908500001647256,FALSE
"synapse",1.1,"org.apache.synapse.config.xml.endpoints.WSDLEndpointFactory",67.75,26,5.875,552,0,65,3,8,1,1,0,14,13,0,1,0.419999986886978,0.904000002145767,FALSE
"synapse",1.1,"org.apache.synapse.config.xml.OutMediatorSerializer",14.33333333,3,1.3333,46,0,15,3,3,0,0,0,7,7,0,1,0.46000000834465,0.904045458679849,FALSE
"synapse",1.1,"org.apache.synapse.mediators.db.DBLookupMediator",77,5,2.5,156,0,28,1,2,0,3,5,5,3,2,1,0.5799999833107,0.919772732257843,FALSE
"synapse",1.1,"org.apache.synapse.statistics.Statistics",13,5,1.4286,104,0,8,7,7,1,1,0,1,0,0,0.990000009536743,0.5,0.906181819330562,FALSE
"synapse",1.1,"org.apache.synapse.mediators.AbstractListMediator",16.2,3,1.5,173,7,35,10,10,1,7,0,14,7,0,1,0.540000021457672,0.913818181102926,TRUE
"synapse",1.1,"org.apache.synapse.mediators.eip.EIPUtils",24,1,0.6,126,0,18,4,5,1,2,0,11,9,0,0.959999978542328,0.449999988079071,0.779545452107083,FALSE
