"project.name","version","name","amc","max_cc","avg_cc","loc","noc","rfc","npm","wmc","dam","ca","cbm","cbo","ce","ic","max.coupling","min.coupling","mean.coupling","is.change.prone"
"xerces","1.3.0","org.apache.xerces.readers.StreamingCharReader",83.55882353,2,1.0588,2890,0,74,21,34,1,1,3,14,14,1,0.97000002861023,0.239999994635582,0.79906459146061,TRUE
"xerces","1.3.0","org.apache.xml.serialize.OutputFormat",11.19565217,12,1.6522,579,0,61,46,46,1,11,0,13,2,0,0.889999985694885,0.159999996423721,0.703786191835435,FALSE
"xerces","1.3.0","org.w3c.dom.html.HTMLFrameSetElement",0,1,1,4,0,4,4,4,0,0,0,0,0,0,1,0.270000010728836,0.884387534219597,FALSE
"xerces","1.3.0","org.w3c.dom.html.HTMLLIElement",0,1,1,4,0,4,4,4,0,0,0,0,0,0,1,0.239999994635582,0.876369716230373,FALSE
"xerces","1.3.0","org.apache.xerces.validators.dtd.DTDGrammar",28.41463415,3,1.1951,1225,0,75,35,41,1,2,7,11,9,1,0.97000002861023,0.280000001192093,0.846280624845246,FALSE
"xerces","1.3.0","javax.xml.parsers.SAXParser",13.94117647,1,0.9412,254,1,37,16,17,0,0,0,0,0,0,0.97000002861023,0.319999992847443,0.848040090239128,TRUE
"xerces","1.3.0","org.apache.wml.WMLOneventElement",0,1,1,2,0,2,2,2,0,1,0,2,1,0,1,0.270000010728836,0.880244993951114,FALSE
"xerces","1.3.0","org.w3c.dom.html.HTMLHtmlElement",0,1,1,2,0,2,2,2,0,0,0,0,0,0,1,0.239999994635582,0.880423168396631,FALSE
"xerces","1.3.0","org.apache.wml.WMLFieldsetElement",0,1,1,4,0,4,4,4,0,1,0,2,1,0,0.990000009536743,0.319999992847443,0.871224949978508,TRUE
"xerces","1.3.0","org.apache.xerces.framework.Version",3.333333333,1,0.3333,14,0,5,2,3,0,0,0,0,0,0,0.9200000166893,0.219999998807907,0.655590201008293,FALSE
"xerces","1.3.0","org.apache.xerces.dom.DocumentFragmentImpl",2.75,1,0.5,16,0,6,4,4,0,1,5,2,2,2,1,0.159999996423721,0.822071270880296,FALSE
"xerces","1.3.0","org.apache.xerces.validators.common.CMNode",7,1,0.8889,77,4,11,0,9,1,6,0,8,2,0,0.980000019073486,0.270000010728836,0.777906459596481,TRUE
"xerces","1.3.0","org.apache.xerces.validators.datatype.DatatypeValidator",0,1,1,17,0,3,3,3,0,27,0,28,1,0,1,0.28999999165535,0.862761691245841,FALSE
"xerces","1.3.0","org.w3c.dom.events.DocumentEvent",0,1,1,1,0,1,1,1,0,0,0,0,0,0,0.990000009536743,0.0700000002980232,0.734097994266613,TRUE
"xerces","1.3.0","org.apache.html.dom.HTMLTitleElementImpl",19,3,1.6667,60,0,14,3,3,0,1,0,2,2,0,1,0.230000004172325,0.884766150257635,TRUE
"xerces","1.3.0","org.apache.wml.dom.WMLSmallElementImpl",4.571428571,1,0.8571,39,0,10,7,7,0,0,6,3,3,1,1,0.25,0.893363032216219,FALSE
"xerces","1.3.0","org.apache.html.dom.HTMLButtonElementImpl",7.083333333,3,1.25,97,0,22,12,12,0,0,1,3,3,1,1,0.239999994635582,0.88547884525196,FALSE
"xerces","1.3.0","org.apache.xerces.utils.regex.REUtil",49.88235294,19,4.7059,867,0,54,5,17,0,7,0,8,3,0,0.949999988079071,0.239999994635582,0.707438751856044,FALSE
"xerces","1.3.0","org.apache.xerces.dom.ParentNode",37.5625,11,2.3438,1240,7,77,14,32,0.833333333,8,25,16,11,2,0.899999976158142,0.0199999995529652,0.642939866775593,FALSE
"xerces","1.3.0","javax.xml.parsers.DocumentBuilderFactory",14.75,10,1.4,325,1,47,16,20,0.9,0,0,0,0,0,0.97000002861023,0.200000002980232,0.792115813739316,TRUE
"xerces","1.3.0","org.apache.xerces.utils.regex.RangeToken",116.8333333,17,8,2128,0,35,1,18,0.142857143,6,7,6,1,1,0.949999988079071,0.280000001192093,0.777683740867538,TRUE
"xerces","1.3.0","org.apache.xerces.validators.common.CMException",4.5,1,0.5,13,0,3,2,2,0.5,11,0,11,0,0,0.980000019073486,-0.109999999403954,0.520178170405942,FALSE
"xerces","1.3.0","org.apache.html.dom.HTMLFormControl",0,0,0,0,0,0,0,0,0,8,0,8,0,0,0.990000009536743,0.170000001788139,0.86311803957269,FALSE
"xerces","1.3.0","org.apache.xerces.validators.datatype.BooleanDatatypeValidator",21.1,1,0.7,228,0,29,6,10,1,1,0,7,6,0,0.990000009536743,0.270000010728836,0.862783962806774,FALSE
"xerces","1.3.0","org.apache.wml.WMLPrevElement",0,0,0,0,0,0,0,0,0,1,0,2,1,0,1,0.28999999165535,0.871559022795119,FALSE
"xerces","1.3.0","org.w3c.dom.html.HTMLUListElement",0,1,1,4,0,4,4,4,0,0,0,0,0,0,1,0.230000004172325,0.87594655318754,FALSE
"xerces","1.3.0","org.apache.html.dom.HTMLDListElementImpl",4.666666667,1,0.6667,17,0,6,3,3,0,0,0,2,2,0,1,0.200000002980232,0.881937641111142,FALSE
