"project.name","version","name","amc","max_cc","avg_cc","loc","noc","rfc","npm","wmc","dam","ca","cbm","cbo","ce","ic","cam","lcom3","lcom","max.coupling","min.coupling","mean.coupling","is.change.prone"
"xerces","1.4.4","org.apache.xerces.impl.xpath.regex.RegularExpression",123.7169811,147,13.3585,6643,0,143,20,53,0.090909091,13,1,32,20,1,0.192307692,0.906177156,1146,0.790000021457672,-0.109999999403954,0.447102964857356,TRUE
"xerces","1.4.4","org.apache.xerces.impl.xs.traversers.XSAttributeChecker",341.4166667,31,6.6667,4202,0,75,7,12,0.559139785,16,0,35,21,0,0.20979021,0.965786901,14,0.97000002861023,0.25,0.787678880893331,FALSE
"xerces","1.4.4","org.apache.xerces.impl.dtd.Grammar",57.84126984,28,3.2222,3757,1,98,27,63,0.98,6,0,28,22,0,0.095959596,0.933870968,1703,0.990000009536743,0.209999993443489,0.854607331113041,FALSE
"xerces","1.4.4","org.apache.xerces.impl.dtd.XMLDTDValidator",53.45454545,11,1.5758,3681,0,230,49,66,1,1,0,38,37,0,0.116742081,0.933687003,489,1,0.170000001788139,0.826806283408019,FALSE
"xerces","1.4.4","org.apache.xerces.impl.XMLDTDScannerImpl",90.27777778,2,1.0556,3317,0,124,11,36,1,1,4,21,20,2,0.187301587,0.851612903,134,0.980000019073486,0.219999998807907,0.87087259996832,FALSE
"xerces","1.4.4","org.apache.xerces.util.XMLChar",137.6521739,17,3.913,3198,0,26,22,23,0,16,0,16,0,0,0.25,0.97979798,181,0.959999978542328,0.25,0.742949387894043,FALSE
"xerces","1.4.4","org.apache.xerces.impl.xs.traversers.XSDHandler",124.4,31,7.08,3191,0,137,3,25,0.642857143,15,0,41,37,0,0.177777778,0.863095238,122,0.97000002861023,0.200000002980232,0.711099476792425,TRUE
"xerces","1.4.4","org.apache.xerces.impl.xpath.regex.RegexParser",61.76,55,2.48,3177,1,106,3,50,0.076923077,2,0,15,13,0,0.194285714,0.84981685,711,0.910000026226044,0.129999995231628,0.611797554928803,FALSE
"xerces","1.4.4","org.apache.xerces.impl.xs.XMLSchemaValidator",66.23913043,51,4.8913,3157,0,178,28,46,0.375,6,0,51,47,0,0.157142857,0.897916667,461,1,0.150000005960464,0.83270506157717,FALSE
"xerces","1.4.4","org.apache.xerces.dom.DeferredDocumentImpl",42.86956522,12,2.6232,3050,0,129,50,69,0.956521739,15,12,25,24,2,0.181716834,0.891304348,1784,1,0.140000000596046,0.849127400503941,FALSE
"xerces","1.4.4","org.apache.xerces.dom.RangeImpl",47.10909091,20,3.8182,2660,0,99,26,55,0,1,0,3,3,0,0.246464646,0.798941799,473,0.990000009536743,0.129999995231628,0.85369982543104,FALSE
"xerces","1.4.4","org.apache.xerces.impl.xpath.regex.RangeToken",116.8333333,17,8,2128,0,35,1,18,0.142857143,6,7,6,1,1,0.361111111,0.680672269,0,0.949999988079071,0.159999996423721,0.757609073976364,FALSE
"xerces","1.4.4","org.apache.xerces.impl.xpath.regex.Token",40.6122449,27,2.551,2101,9,88,2,49,0.35483871,15,0,16,11,0,0.1875,0.996975806,866,0.839999973773956,0.159999996423721,0.557242580551336,TRUE
"xerces","1.4.4","org.apache.xml.serialize.BaseMarkupSerializer",34.45614035,7,1.2456,2036,3,126,38,57,0.933333333,3,0,10,7,0,0.136302294,0.771428571,920,0.980000019073486,0.170000001788139,0.732164048399601,FALSE
"xerces","1.4.4","org.apache.xerces.util.URI",47.07142857,33,3.1429,2031,0,67,29,42,1,2,0,3,1,0,0.226480836,0.780487805,375,0.910000026226044,0.409999996423721,0.700349040212431,FALSE
"xerces","1.4.4","org.apache.xerces.impl.dv.xs.DateTimeValidator",43.13636364,20,2.5682,1970,9,71,5,44,1,9,6,18,9,1,0.193181818,0.98089701,766,0.959999978542328,0.239999994635582,0.767801047541708,FALSE
"xerces","1.4.4","org.apache.xerces.impl.XMLScanner",97.72222222,3,1.0556,1804,2,68,7,18,1,2,0,14,12,0,0.227272727,0.882352941,0,0.990000009536743,0.189999997615814,0.729650960984862,FALSE
"xerces","1.4.4","org.apache.xerces.impl.xs.traversers.XSDComplexTypeTraverser",108.5333333,12,2.0667,1645,0,60,0,15,1,3,4,24,23,2,0.344155844,0.964285714,87,0.990000009536743,0.170000001788139,0.853787087879256,FALSE
"xerces","1.4.4","org.apache.xerces.parsers.AbstractDOMParser",63.08333333,4,1.0833,1567,1,122,21,24,0.931034483,1,10,17,16,3,0.25,0.856071964,0,0.990000009536743,0.100000001490116,0.665968586624085,TRUE
"xerces","1.4.4","org.apache.xerces.impl.dtd.DTDGrammar",33.80952381,5,1.2619,1494,0,89,35,42,0.75,2,12,18,16,2,0.177489177,0.951219512,673,0.980000019073486,0.239999994635582,0.840959860938382,TRUE
"xerces","1.4.4","org.apache.xerces.impl.XMLDocumentFragmentScannerImpl",43.38709677,2,0.9677,1419,1,116,12,31,1,3,8,25,23,2,0.126190476,0.945736434,177,1,0.209999993443489,0.864642232006341,TRUE
"xerces","1.4.4","org.apache.xerces.dom.DocumentImpl",32.02380952,33,3.7381,1394,3,101,12,42,0.714285714,13,18,20,12,4,0.163865546,0.832752613,457,1,0.109999999403954,0.773054099545845,TRUE
"xerces","1.4.4","org.apache.xerces.impl.XMLEntityManager",42.35483871,39,2.9032,1373,0,98,24,31,0.965517241,9,0,28,22,0,0.16969697,0.949425287,301,0.959999978542328,0.209999993443489,0.816631760922818,FALSE
"xerces","1.4.4","org.apache.xerces.impl.dv.xs.AbstractNumericFacetValidator",74.5,2,0.9444,1365,2,33,3,18,1,2,1,9,7,1,0.236111111,0.950980392,151,1,0.230000004172325,0.732862130795682,FALSE
"xerces","1.4.4","org.apache.xerces.parsers.AbstractSAXParser",28.84090909,2,1,1328,1,131,39,44,1,1,6,17,16,3,0.101674641,0.925581395,588,0.990000009536743,0.170000001788139,0.72115183108036,FALSE
"xerces","1.4.4","org.apache.xerces.impl.io.UTF8Reader",96.46153846,1,0.8462,1273,0,25,10,13,0.833333333,1,2,1,0,1,0.353846154,0.791666667,54,0.959999978542328,0.189999997615814,0.764415355356992,FALSE
"xerces","1.4.4","org.apache.xerces.dom.CoreDocumentImpl",14.97435897,9,1.3333,1258,1,166,49,78,0.833333333,39,19,42,21,2,0.129058442,0.944805195,2643,0.980000019073486,0.219999998807907,0.811884816300391,FALSE
"xerces","1.4.4","org.apache.xerces.impl.xs.models.XSDFACM",87.35714286,18,4.2143,1255,0,53,7,14,1,1,0,14,13,0,0.351648352,0.807692308,39,0.990000009536743,0.259999990463257,0.842670157785815,TRUE
"xerces","1.4.4","org.apache.xml.serialize.HTMLSerializer",67.77777778,2,0.7778,1240,1,82,11,18,0.5,2,8,7,5,1,0.20855615,0.529411765,119,0.980000019073486,0.230000004172325,0.762722512060227,FALSE
"xerces","1.4.4","org.apache.xerces.impl.xs.traversers.XSDAbstractTraverser",107.5454545,40,9,1209,8,59,0,11,0.8,9,0,29,24,0,0.212121212,0.926666667,5,0.990000009536743,0.219999998807907,0.850593370760923,FALSE
"xerces","1.4.4","org.apache.xerces.impl.xs.SchemaGrammar",44.48,3,1.08,1159,0,66,17,25,0.409090909,18,0,57,39,0,0.136111111,0.901515152,190,0.990000009536743,0.150000005960464,0.860244328438924,FALSE
"xerces","1.4.4","org.apache.xerces.impl.dtd.models.DFAContentModel",138.375,25,9.5,1134,0,49,2,8,1,1,0,9,8,0,0.514285714,0.766917293,2,0.980000019073486,0.129999995231628,0.856910991913153,TRUE
"xerces","1.4.4","org.apache.xml.serialize.XMLSerializer",79.57142857,7,1.2143,1128,0,86,10,14,0,1,7,5,4,2,0.246031746,2,41,0.990000009536743,0.180000007152557,0.712582895581011,TRUE
