"project.name","version","name","amc","max_cc","avg_cc","loc","noc","rfc","npm","wmc","dam","ca","cbm","cbo","ce","ic","cam","lcom3","lcom","max.coupling","min.coupling","mean.coupling","is.change.prone"
"jEdit","3.2.1","org.gjt.sp.jedit.Registers",29.14285714,8,2.4286,425,0,45,11,14,1,3,0,9,6,0,0.294871795,0.769230769,61,0.97000002861023,0.360000014305115,0.856555557582113,TRUE
"jEdit","3.2.1","gnu.regexp.RETokenRepeated",41.28571429,16,4.7143,300,0,21,0,7,1,1,3,4,3,1,0.333333333,0.541666667,0,0.990000009536743,0.479999989271164,0.894259259546245,TRUE
"jEdit","3.2.1","gnu.regexp.REMatchEnumeration",16.33333333,5,1.5,113,0,11,5,6,1,1,0,3,3,0,0.333333333,0.6,9,0.97000002861023,0.560000002384186,0.862444443172879,TRUE
"jEdit","3.2.1","bsh.BSHType",13.83333333,1,0.8333,92,0,14,5,6,1,8,0,16,8,0,0.444444444,0.666666667,3,1,0.370000004768372,0.848407407932811,TRUE
"jEdit","3.2.1","gnu.regexp.RETokenOneOf",39.8,11,4,206,0,22,0,5,1,1,3,5,4,1,0.35,0.125,0,1,0.469999998807907,0.896037036290875,TRUE
"jEdit","3.2.1","bsh.BSHArrayDimensions",41.75,1,0.75,174,0,21,3,4,0.333333333,2,1,10,8,1,0.5,0.555555556,2,0.990000009536743,0.419999986886978,0.887518518831995,TRUE
"jEdit","3.2.1","org.gjt.sp.jedit.options.StyleTableModel",18.5,2,1.375,157,0,19,6,8,1,2,2,6,4,1,0.40625,0.285714286,0,0.97000002861023,0.46000000834465,0.824851852986548,FALSE
"jEdit","3.2.1","gnu.regexp.CharIndexedString",13.75,3,1.75,62,0,7,3,4,1,1,0,2,1,0,0.666666667,0.222222222,0,0.990000009536743,0.46000000834465,0.855851852452313,TRUE
"jEdit","3.2.1","org.gjt.sp.jedit.gui.DockableWindowContainer",0,1,1,5,0,5,5,5,0,4,0,5,1,0,1,2,10,0.97000002861023,0.330000013113022,0.866037038851667,FALSE
"jEdit","3.2.1","org.gjt.sp.jedit.textarea.TextRendererAWT",22.25,5,1.75,93,0,11,0,4,0,1,2,1,1,1,0.571428571,2,6,1,0.430000007152557,0.774814814108389,FALSE
"jEdit","3.2.1","org.gjt.sp.jedit.EditPlugin",2.2,1,0.9,33,2,13,8,10,1,10,0,11,3,0,0.25,0.777777778,39,0.990000009536743,0.400000005960464,0.903666672000179,TRUE
"jEdit","3.2.1","bsh.BSHLHSPrimarySuffix",34,1,0.8,182,0,27,1,5,0,2,0,14,12,0,0.72,1.071428571,10,1,0.46000000834465,0.89648148185677,FALSE
"jEdit","3.2.1","org.gjt.sp.jedit.browser.VFSBrowser",24.90740741,11,2.1296,1425,0,175,25,54,0.846153846,21,12,41,27,3,0.122895623,0.930333817,1183,0.97000002861023,0.330000013113022,0.836666667461395,FALSE
"jEdit","3.2.1","org.gjt.sp.jedit.options.DockingOptionPane",50,3,1.4,260,0,51,3,5,1,2,4,6,5,2,1,0.75,6,0.980000019073486,0.490000009536743,0.885111109857206,FALSE
"jEdit","3.2.1","org.gjt.sp.jedit.options.WindowTableModel",16.72727273,4,1.8182,198,0,30,9,11,1,3,2,7,6,1,0.386363636,0.833333333,25,0.980000019073486,0.509999990463257,0.847074075760665,FALSE
"jEdit","3.2.1","bsh.Interpreter",27.25490196,33,1.6667,1458,0,132,42,51,0.117647059,44,0,58,21,0,0.144,0.776470588,925,0.939999997615814,0.389999985694885,0.745481481927412,FALSE
"jEdit","3.2.1","org.gjt.sp.jedit.gui.HelpViewer",40.83333333,7,1.5556,762,0,124,6,18,1,7,6,21,20,3,0.1875,0.77124183,117,0.949999988079071,0.259999990463257,0.809518519926954,TRUE
"jEdit","3.2.1","org.gjt.sp.jedit.msg.CreateDockableWindow",7.714285714,1,0.8571,64,0,15,7,7,1,2,1,6,4,1,0.357142857,0.722222222,9,0.990000009536743,0.419999986886978,0.898370373138675,FALSE
"jEdit","3.2.1","org.gjt.sp.jedit.options.EditingOptionPane",105.3333333,3,1.3333,330,0,23,1,3,1,1,4,4,3,2,1,0.5,1,1,0.419999986886978,0.880851853445724,FALSE
"jEdit","3.2.1","org.gjt.sp.jedit.textarea.JEditTextArea",34.87203791,25,3.0521,7612,0,430,169,211,0.906976744,40,9,59,39,3,0.084391534,0.883277962,11469,0.990000009536743,0.360000014305115,0.897777777689475,FALSE
"jEdit","3.2.1","org.gjt.sp.jedit.GUIUtilities",37,16,2.6923,1492,0,144,34,39,0.4,58,0,70,21,0,0.135964912,0.955263158,725,0.990000009536743,0.379999995231628,0.87396296273779,FALSE
"jEdit","3.2.1","org.gjt.sp.jedit.EBComponent",0,1,1,1,0,1,1,1,0,31,0,31,1,0,1,2,0,0.839999973773956,0.140000000596046,0.636259260828848,FALSE
"jEdit","3.2.1","org.gjt.sp.jedit.gui.KeyEventWorkaround",41.75,20,8.75,179,0,16,2,4,0.875,5,0,5,0,0,0.333333333,1.083333333,2,0.980000019073486,0.46000000834465,0.871296296406675,FALSE
"jEdit","3.2.1","org.gjt.sp.jedit.gui.PastePrevious",21.83333333,3,1.3333,279,0,57,10,12,1,1,0,7,7,0,0.277777778,0.709090909,52,0.949999988079071,0.300000011920929,0.83066666788525,FALSE
"jEdit","3.2.1","org.gjt.sp.jedit.EditPane",42.21052632,21,3.2105,828,0,132,12,19,1,16,1,31,22,1,0.210526316,0.595238095,57,0.990000009536743,0.370000004768372,0.89577777893455,FALSE
"jEdit","3.2.1","org.gjt.sp.jedit.EBMessage",6.833333333,1,0.8333,49,3,14,6,6,1,29,0,29,1,0,0.583333333,0.6,7,0.870000004768372,0.129999995231628,0.681370368710271,FALSE
"jEdit","3.2.1","org.gjt.sp.jedit.options.AbbrevsOptionPane",41.14285714,5,1.7143,300,0,58,1,7,1,4,12,9,8,4,0.5,0.733333333,5,0.990000009536743,0.479999989271164,0.884185186690754,FALSE
"jEdit","3.2.1","org.gjt.sp.jedit.gui.CloseDialog",20.85714286,3,1.0714,313,0,54,4,14,1,3,0,7,7,0,0.285714286,0.846153846,65,0.980000019073486,0.419999986886978,0.882481482625008,FALSE
"jEdit","3.2.1","org.gjt.sp.jedit.search.SearchDialog",51.53333333,11,2.0333,1603,0,137,4,30,0.888888889,7,2,22,20,2,0.233333333,0.830140485,315,0.990000009536743,0.340000003576279,0.891962964667214,TRUE
"jEdit","3.2.1","gnu.regexp.RETokenLookAhead",32.5,7,3.5,69,0,8,0,2,0,1,1,6,6,1,0.571428571,0,0,1,0.409999996423721,0.901333333275936,FALSE
"jEdit","3.2.1","gnu.regexp.RESyntax",33.88888889,2,1,361,0,18,8,9,0.106382979,4,0,4,1,0,0.40625,1.015957447,0,0.980000019073486,0.379999995231628,0.885740739438269,TRUE
"jEdit","3.2.1","org.gjt.sp.jedit.search.AllBufferSet",17.2,4,1.4,93,0,22,3,5,1,1,0,7,6,0,0.6,0.625,4,0.959999978542328,0.310000002384186,0.835481481750806,FALSE
"jEdit","3.2.1","bsh.ReturnControl",9,0,0,12,0,2,1,1,0,9,0,10,1,0,1,2,0,0.97000002861023,0.540000021457672,0.852925925563883,FALSE
"jEdit","3.2.1","org.gjt.sp.jedit.gui.EditAbbrevDialog",40,2,1,210,0,39,2,5,1,3,0,6,5,0,0.32,0.8,0,0.990000009536743,0.409999996423721,0.894037038529361,TRUE
"jEdit","3.2.1","org.gjt.sp.jedit.gui.SelectLineRange",70.8,3,1.6,364,0,52,4,5,1,1,0,8,8,0,0.466666667,0.5,2,0.980000019073486,0.319999992847443,0.875074075438358,FALSE
"jEdit","3.2.1","bsh.BSHSwitchStatement",52,1,0.5,106,0,9,2,2,0,1,2,10,9,2,0.625,2,1,1,0.379999995231628,0.877888887789514,FALSE
"jEdit","3.2.1","org.gjt.sp.jedit.io.FavoritesVFS",21.6,3,1.2,230,0,28,9,10,0.75,3,3,5,4,1,0.472222222,0.722222222,13,0.980000019073486,0.340000003576279,0.873037038136412,FALSE
"jEdit","3.2.1","org.gjt.sp.jedit.options.GeneralOptionPane",118,5,2.6667,370,0,34,1,3,1,1,4,4,3,2,1,0.5,1,0.990000009536743,0.46000000834465,0.86629629764292,FALSE
"jEdit","3.2.1","org.gjt.sp.jedit.gui.CurrentDirectoryMenu",86.5,15,7.5,175,0,30,2,2,0,2,3,10,9,2,0.75,2,1,0.980000019073486,0.439999997615814,0.880000000309061,FALSE
"jEdit","3.2.1","org.gjt.sp.jedit.gui.JCheckBoxList",16.875,3,1.125,143,0,33,7,8,0,2,1,4,2,1,0.5,2,28,0.980000019073486,0.5,0.872407407672317,FALSE
"jEdit","3.2.1","bsh.Node",0,1,1,7,0,7,7,7,0,36,0,36,0,0,0.523809524,2,21,0.819999992847443,0.0900000035762787,0.413814813533315,FALSE
"jEdit","3.2.1","org.gjt.sp.jedit.options.ColorOptionPane",14,2,0.875,123,0,31,1,8,0.666666667,2,12,5,4,4,0.5,0.761904762,20,0.990000009536743,0.490000009536743,0.883518519224944,TRUE
"jEdit","3.2.1","org.gjt.sp.jedit.textarea.Gutter",19.33333333,20,1.9,628,0,73,25,30,1,7,18,10,7,3,0.127777778,0.927203065,337,0.939999997615814,0.0900000035762787,0.709666666802433,FALSE
